,Počet respondentů,Instalovaný elektrický výkon  (kW),Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh)
2003,39,24985,"107856,1","53550,0","54306,1"
2004,57,32540,"138793,4","56658,2","82135,2"
2005,59,36271,"160856,9","66262,3","94594,6"
2006,65,42838,"175837,0","74191,0","101647,0"
2007,78,49913,"215223,0","75093,3","140129,6"
2008,108,71031,"266868,3","86422,0","180446,3"
2009,146,95766,"441266,1","109346,8","331919,3"
2010,172,117884,"634662,0","132156,9","502505,1"
2011,240,177130,"928714,8","171390,0","757324,8"
2012,367,300148,"1467683,7","220721,1","1246962,6"
2013,434,360684,"2293592,6","359353,5","1934239,1"
2014,440,366696,"2583362,5","394453,7","2188908,8"
2015,442,368029,"2614064,9","397046,1","2217018,8"
2016,439,368490,"2589023,0","418576,5","2170446,4"
2017,442,372036,"2640218,3","434895,7","2205322,3"
2018,439,368879,"2607205,6","459406,5","2147799,0"
2019,440,368301,"2528077,7","466356,1","2061721,6"
2020,437,366216,"2596449,5","467180,6","2129268,9"
