Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,0,"0,0","0,0","0,0","0,0"
2005,0,"0,0","0,0","0,0","0,0"
2006,0,"0,0","0,0","0,0","0,0"
2007,1,"164,0","164,0","0,0","0,0"
2008,1,"66,0","66,0","0,0","0,0"
2009,0,"0,0","0,0","0,0","0,0"
2010,0,"0,0","0,0","0,0","0,0"
2011,4,"2102,1","1361,9","740,2","99,9"
2012,6,"29727,8","5728,4","23999,4","971,7"
2013,10,"4872,9","4872,9","0,0","203,4"
2014,5,"3855,5","1252,3","2603,2","272,9"
2015,8,"5132,2","3491,7","1640,5","190,6"
2016,8,"5616,8","3623,7","1993,1","187,8"
2017,7,"6624,4","2676,7","3947,7","237,9"
2018,7,"4397,7","2305,5","2092,2","157,4"
2019,6,"2416,5","2416,5","0,0","84,3"
2020,6,"2259,4","2259,4","0,0","81,8"
