Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2004,0,"0,0","0,0","0,0","0,0"
2005,0,"0,0","0,0","0,0","0,0"
2006,0,"0,0","0,0","0,0","0,0"
2007,1,"334,0","0,0","334,0","286,0"
2008,1,"1390,0","0,0","1390,0","1345,0"
2009,1,"8601,0","0,0","8601,0","7135,0"
2010,1,"20217,0","0,0","20217,0","16629,0"
2011,0,"0,0","0,0","0,0","0,0"
2012,0,"0,0","0,0","0,0","0,0"
2013,0,"0,0","0,0","0,0","0,0"
2014,0,"0,0","0,0","0,0","0,0"
2015,0,"0,0","0,0","0,0","0,0"
2016,0,"0,0","0,0","0,0","0,0"
2017,0,"0,0","0,0","0,0","0,0"
2018,0,"0,0","0,0","0,0","0,0"
2019,0,"0,0","0,0","0,0","0,0"
2020,0,"0,0","0,0","0,0","0,0"
