Rok,Počet  respondentů,Hrubá výroba  tepla (GJ),Dodávka do vlastního podniku nebo zařízení vč. ztrát (GJ),Přímé dodávky cizím subjektům (GJ),Spotřeba paliva (t)
2004,3,"8408747,0","8408747,0","0,0","862042,3"
2005,2,"8151983,5","6908001,5","1243982,0","1040179,3"
2006,2,"7656367,0","7100369,7","555997,3","883578,3"
2007,2,"6691839,0","6201661,7","490177,3","888914,8"
2008,2,"6339164,8","6019045,4","320119,4","787471,4"
2009,2,"6455209,5","6282398,9","172810,7","808900,6"
2010,2,"6739651,0","6545327,2","194323,8","873910,5"
2011,2,"6609280,6","6437996,5","171284,1","833133,4"
2012,2,"6602059,3","6429144,9","172914,4","849765,3"
2013,2,"7826973,8","7644146,8","182827,0","995527,8"
2014,2,"7611753,9","7147043,3","464710,6","1050728,4"
2015,2,"7962884,8","7359857,0","603027,8","1073319,5"
2016,2,"8462709,3","7789095,4","673613,9","1066254,1"
2017,2,"8103959,4","7390877,2","713082,2","1049435,2"
2018,2,"7940203,7","7319260,5","620943,2","988972,5"
2019,2,"10323296,2","9535483,2","787813,0","1217776,3"
2020,2,"11010531,0","10169639,0","840892,1","1262881,8"
