Rok,Počet respondentů,Hrubá výroba elektřiny (MWh),Dodávka do vlastního podniku nebo zařízení vč. ztrát (MWh),Přímé dodávky cizím subjektům (MWh),Spotřeba paliva (t)
2003,7,"372972,4","149571,1","223401,3","203855,7"
2004,15,"564545,8","171819,5","392726,3","414911,1"
2005,15,"560251,9","301686,7","258565,2","389239,1"
2006,19,"731088,6","419653,6","311435,0","512434,5"
2007,22,"968071,9","562607,5","405232,5","665376,3"
2008,27,"1170527,4","589198,6","581328,7","865116,3"
2009,32,"1396271,1","627587,0","768684,0","1063912,9"
2010,37,"1492238,5","647011,1","845227,4","1253224,4"
2011,45,"1684571,8","691895,6","992675,6","1351767,0"
2012,49,"1817337,4","748383,8","1068953,6","1458830,7"
2013,63,"1683272,0","828414,2","854857,7","1404471,3"
2014,60,"1992217,4","872213,9","1120003,4","1504732,6"
2015,61,"2091494,5","864847,0","1226647,5","1603185,8"
2016,53,"2067744,5","835413,7","1232330,8","1643865,0"
2017,51,"2213397,0","878842,2","1334554,5","1806695,5"
2018,47,"2120883,3","856702,1","1264181,2","1720829,5"
2019,49,"2398733,6","1025183,8","1373549,9","1897821,4"
2020,54,"2498965,4","1066564,3","1432401,0","1956385,1"
